,length,height,width,angle of attack,length*heigth*width (Ordering Wings)
0,0.05,0.05,0.05,0.0,0.00012500000000000003
1,0.05,0.05,0.05,0.157,0.00012500000000000003
2,0.05,0.05,0.05,0.314,0.00012500000000000003
3,0.05,0.05,0.05,0.471,0.00012500000000000003
4,0.05,0.05,0.05,0.628,0.00012500000000000003
5,0.05,0.05,0.05,0.785,0.00012500000000000003
20,0.05,0.125,0.05,0.314,0.00031250000000000006
19,0.05,0.125,0.05,0.157,0.00031250000000000006
18,0.05,0.125,0.05,0.0,0.00031250000000000006
23,0.05,0.125,0.05,0.785,0.00031250000000000006
21,0.05,0.125,0.05,0.471,0.00031250000000000006
22,0.05,0.125,0.05,0.628,0.00031250000000000006
40,0.05,0.2,0.05,0.628,0.0005000000000000001
39,0.05,0.2,0.05,0.471,0.0005000000000000001
38,0.05,0.2,0.05,0.314,0.0005000000000000001
37,0.05,0.2,0.05,0.157,0.0005000000000000001
36,0.05,0.2,0.05,0.0,0.0005000000000000001
41,0.05,0.2,0.05,0.785,0.0005000000000000001
73,0.3,0.05,0.05,0.157,0.00075
75,0.3,0.05,0.05,0.471,0.00075
76,0.3,0.05,0.05,0.628,0.00075
77,0.3,0.05,0.05,0.785,0.00075
72,0.3,0.05,0.05,0.0,0.00075
74,0.3,0.05,0.05,0.314,0.00075
149,0.55,0.05,0.05,0.785,0.0013750000000000004
147,0.55,0.05,0.05,0.471,0.0013750000000000004
146,0.55,0.05,0.05,0.314,0.0013750000000000004
145,0.55,0.05,0.05,0.157,0.0013750000000000004
144,0.55,0.05,0.05,0.0,0.0013750000000000004
55,0.05,0.55,0.05,0.157,0.0013750000000000004
56,0.05,0.55,0.05,0.314,0.0013750000000000004
57,0.05,0.55,0.05,0.471,0.0013750000000000004
58,0.05,0.55,0.05,0.628,0.0013750000000000004
148,0.55,0.05,0.05,0.628,0.0013750000000000004
59,0.05,0.55,0.05,0.785,0.0013750000000000004
54,0.05,0.55,0.05,0.0,0.0013750000000000004
90,0.3,0.125,0.05,0.0,0.001875
95,0.3,0.125,0.05,0.785,0.001875
94,0.3,0.125,0.05,0.628,0.001875
93,0.3,0.125,0.05,0.471,0.001875
92,0.3,0.125,0.05,0.314,0.001875
91,0.3,0.125,0.05,0.157,0.001875
110,0.3,0.2,0.05,0.314,0.003
111,0.3,0.2,0.05,0.471,0.003
112,0.3,0.2,0.05,0.628,0.003
109,0.3,0.2,0.05,0.157,0.003
108,0.3,0.2,0.05,0.0,0.003
113,0.3,0.2,0.05,0.785,0.003
164,0.55,0.125,0.05,0.314,0.0034375000000000005
163,0.55,0.125,0.05,0.157,0.0034375000000000005
162,0.55,0.125,0.05,0.0,0.0034375000000000005
165,0.55,0.125,0.05,0.471,0.0034375000000000005
166,0.55,0.125,0.05,0.628,0.0034375000000000005
167,0.55,0.125,0.05,0.785,0.0034375000000000005
181,0.55,0.2,0.05,0.157,0.005500000000000001
184,0.55,0.2,0.05,0.628,0.005500000000000001
183,0.55,0.2,0.05,0.471,0.005500000000000001
182,0.55,0.2,0.05,0.314,0.005500000000000001
185,0.55,0.2,0.05,0.785,0.005500000000000001
180,0.55,0.2,0.05,0.0,0.005500000000000001
11,0.05,0.05,2.54,0.785,0.0063500000000000015
6,0.05,0.05,2.54,0.0,0.0063500000000000015
7,0.05,0.05,2.54,0.157,0.0063500000000000015
8,0.05,0.05,2.54,0.314,0.0063500000000000015
9,0.05,0.05,2.54,0.471,0.0063500000000000015
10,0.05,0.05,2.54,0.628,0.0063500000000000015
17,0.05,0.05,3.0,0.785,0.0075000000000000015
14,0.05,0.05,3.0,0.314,0.0075000000000000015
16,0.05,0.05,3.0,0.628,0.0075000000000000015
15,0.05,0.05,3.0,0.471,0.0075000000000000015
